drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Blue,,Black,"MADISON, WI",Mazda,"43,755",Mazda6,Grand Touring Automatic,,2016 Mazda Mazda6,"$19,577",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1W52G1412090/2016-mazda-mazda6/,JM1GJ1W52G1412090,2016
,,Silver,,Black,"Madison, WI",Mazda,"57,104",Mazda2,Sport automatic,,2013 Mazda Mazda2,"$8,601",,https://www.truecar.com/used-cars-for-sale/listing/JM1DE1KY4D0161680/2013-mazda-mazda2/,JM1DE1KY4D0161680,2013
,,Silver,,Other,"Machesney Park, IL",Mazda,"23,739",Mazda3,Sport Automatic,,2017 Mazda Mazda3 4-Door,"$14,999",,https://www.truecar.com/used-cars-for-sale/listing/3MZBN1U75HM102567/2017-mazda-mazda3-4-door/,3MZBN1U75HM102567,2017
,,Gray,,Beige,"West Allis, WI",Honda,"44,782",Civic,LX Automatic,,2015 Honda Civic Sedan,"$12,927",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F58FE063074/2015-honda-civic-sedan/,19XFB2F58FE063074,2015
,,Jet Black,,Black,"Milwaukee, WI",Mazda,"12,236",Mazda6,Sport Automatic,,2016 Mazda Mazda6,"$15,989",,https://www.truecar.com/used-cars-for-sale/listing/JM1GJ1U51G1447660/2016-mazda-mazda6/,JM1GJ1U51G1447660,2016
,,Gray,,Black,"Fox Lake, IL",Mazda,"31,455",Mazda3,i Sport 4-Door manual,,2014 Mazda Mazda3,"$10,990",,https://www.truecar.com/used-cars-for-sale/listing/JM1BM1U74E1124297/2014-mazda-mazda3/,JM1BM1U74E1124297,2014
,,Black Cherry Mica,,Sand,"Kenosha, WI",Mazda,"138,835",CX-7,FWD 4dr Touring,,2007 Mazda CX-7,"$5,343",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER293X70130700/2007-mazda-cx-7/,JM3ER293X70130700,2007
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"22,529",Corolla,LE,,2015 Toyota Corolla,"$12,995",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE2FC335468/2015-toyota-corolla/,2T1BURHE2FC335468,2015
,,Blue,,Almond,"West Allis, WI",Toyota,"21,239",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,695",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE8HP654621/2017-toyota-corolla/,5YFBURHE8HP654621,2017
,,Super White - White,,Ash Cloth,"Milwaukee, WI",Toyota,"46,842",Corolla,LE,,2016 Toyota Corolla,"$11,227",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE7GC544674/2016-toyota-corolla/,2T1BURHE7GC544674,2016
